,PoNo,PoAmend,PoDate,RefNo,RefAmend,PoType,DocType,MaterialCode,Uom,Rate,RatePer,PoQty,DiscRate,ShortTrnNo,MaterialName,PendQty
0,101222370111002216,1,10/05/2023,0,0,102,RESHARP,1010101052,NOS,2620.73,1.0,1.0,2620.73,2223-002216,PLANET CARRIER 955510270G (CASTING),1.0
1,101222370111002216,1,10/05/2023,0,0,102,RESHARP,1010101133,NOS,252.6,1.0,1.0,252.6,2223-002216,FUS.GHISA PORTA PLAN 955509730G,1.0
2,101222370111002216,1,10/05/2023,0,0,102,RESHARP,1010101134,NOS,351.54,1.0,1.0,351.54,2223-002216,IRON CASTING PLAN CAR 955507421G,1.0
3,101222370111002216,1,10/05/2023,0,0,102,RESHARP,1010101184,NOS,284.18,1.0,1.0,284.18,2223-002216,IRON CASTING PLANET CARRIER 955507410G,1.0
4,101222370111002216,1,10/05/2023,0,0,102,RESHARP,1010101135,NOS,3175.39,1.0,1.0,3175.39,2223-002216,FUS.GHISA CORPO VERN 950011510G,1.0
5,101222370111002216,1,10/05/2023,0,0,102,RESHARP,1010101183,NOS,1126.18,1.0,1.0,1126.18,2223-002216,IRON CASTING PLANET CARRIER 955509720G,1.0
6,101222370111002217,1,10/05/2023,0,0,102,RESHARP,1010107445,NOS,615.36,1.0,1.0,615.36,2223-002217,HUB UC22 A063P292,1.0
7,101222370111002217,1,10/05/2023,0,0,102,RESHARP,1010107447,NOS,748.8,1.0,1.0,748.8,2223-002217,HUB UC22 A063S849,1.0
8,101242570111000615,0,02/05/2024,0,0,101,PO,1010103413,NOS,1806.88,1.0,5000.0,1806.88,2425-000615,FLYWHEEL HOUSING 03.974.03.0.00,5000.0
9,101242570111000615,0,02/05/2024,0,0,101,PO,1010103414,NOS,345.03,1.0,5000.0,345.03,2425-000615,EXHAUST MANIFOLD 02.1046.01.0.00,5000.0
10,101242570111000615,0,02/05/2024,0,0,101,PO,1010104304,NOS,780.3,1.0,5000.0,780.3,2425-000615,ROCKER COVER 4H.160.01.1,5000.0
